program_id	author_id	type	post_id	comment_id	publish_date	feature	count	word
kbs2_spy	tjsals526	POST	pym07yx-_dhgs		2011-08-18	QUESTIONMARK	1.0	tagquestion
kbs2_spy	wjdgus3529	POST	pym0gnd-iq5a		2011-08-18	QUESTIONMARK	1.0	tagquestion
kbs2_spy	jtkimm	POST	pym0gu0-zlm		2011-08-19	QUANTIFIER	1.0	조금
kbs2_spy	jtkimm	POST	pym0gu0-zlm		2011-08-19	QUESTIONMARK	1.0	tagquestion
kbs2_spy	jtkimm	POST	pym0gu0-zlm		2011-08-19	SMILEMARK	1.0	크
kbs2_spy	jtkimm	POST	pym0gu0-zlm		2011-08-19	POSITIVE	1.0	좋아
kbs2_spy	jtkimm	POST	pym0gu0-zlm		2011-08-19	SEE	1.0	보다
kbs2_spy	dbsthdbs98	POST	pym0jhm-chfd		2011-08-18	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	dbsthdbs98	POST	pym0jhm-chfd		2011-08-18	SMILEMARK	1.0	tagsmile
kbs2_spy	dbsthdbs98	POST	pym0jhm-chfd		2011-08-18	CRYMARK	1.0	tagcry
kbs2_spy	dbsthdbs98	POST	pym0jhm-chfd		2011-08-18	POSITIVE	1.0	보고싶다
kbs2_spy	guswlsmmm1	POST	pym0mzc-5op__		2011-08-18	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	dltjdwns93	POST	pym0oi8-xkxv		2011-08-18	QUESTIONMARK	1.0	tagquestion
kbs2_spy	milledental	POST	pym0oli-5otk4		2011-08-19	QUESTIONMARK	1.0	tagquestion
kbs2_spy	limheeyeon99	POST	pym0sh2-y6o8m		2011-08-18	PRESENT	1.0	오늘
kbs2_spy	limheeyeon99	POST	pym0sh2-y6o8m		2011-08-18	CRYMARK	1.0	tagcry
kbs2_spy	limheeyeon99	POST	pym0sh2-y6o8m		2011-08-18	SADNESS	1.0	아프
kbs2_spy	rhxoxod	POST	pym0y43-5_cqk		2011-08-18	HEAR	1.0	느끼다
kbs2_spy	skypremire	POST	pym0zdj-q8xl		2011-08-18	SMILEMARK	1.0	tagsmile
kbs2_spy	navysun423	POST	pym0_0i-5mqru		2011-08-19	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	hdo0123	POST	pym0_7z-_q3w4		2011-08-18	PRESENT	1.0	오늘
kbs2_spy	6150su	POST	pym12p3-yv5jz		2011-08-20	PRESENT	1.0	오늘
kbs2_spy	6150su	POST	pym12p3-yv5jz		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	leekwon10	POST	pym141i-y64yl		2011-08-20	SMILEMARK	1.0	크
kbs2_spy	inc6021	POST	pym15bs-y4vwy		2011-08-19	QUANTIFIER	1.0	너무
kbs2_spy	inc6021	POST	pym15bs-y4vwy		2011-08-19	QUESTIONMARK	1.0	tagquestion
kbs2_spy	inc6021	POST	pym15bs-y4vwy		2011-08-19	POSITIVE	1.0	멋지다
kbs2_spy	inc6021	POST	pym15xg-y4vwy		2011-08-19	QUESTIONMARK	1.0	tagquestion
kbs2_spy	inc6021	POST	pym15xg-y4vwy		2011-08-19	POSITIVE	1.0	좋아
kbs2_spy	acsulin	POST	pym15z6-yewpp		2011-08-19	QUANTIFIER	1.0	조금
kbs2_spy	inc6021	POST	pym16mk-y4vwy		2011-08-19	SMILEMARK	1.0	크
kbs2_spy	donghun86	POST	pym1a42-yxc59		2011-08-20	CONJUNCTION	1.0	하지만
kbs2_spy	wonjucho	POST	pym1a81-4		2011-08-20	SEE	1.0	보다
kbs2_spy	donghun86	POST	pym1ai4-yxc59		2011-08-20	CONJUNCTION	1.0	하지만
kbs2_spy	tsg03244	POST	pym1dgb-64_i		2011-08-20	QUESTIONMARK	1.0	tagquestion
kbs2_spy	tsg03244	POST	pym1dgb-64_i		2011-08-20	SEE	1.0	보다
kbs2_spy	backin79	POST	pym1fdd-ykqbx		2011-08-20	SADNESS	1.0	아프
kbs2_spy	larc1001	POST	pym1i9q-y4l3q		2011-08-20	QUESTIONMARK	1.0	tagquestion
kbs2_spy	lovelycong00	POST	pym1idj-5uo57		2011-08-20	SMILEMARK	1.0	크
kbs2_spy	larc1001	POST	pym1ifp-y4l3q		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	tkwn8279	POST	pym1o3u-stbm		2011-08-20	SMILEMARK	1.0	크
kbs2_spy	donghun86	POST	pym1q78-yxc59		2011-08-20	PRESENT	1.0	지금
kbs2_spy	donghun86	POST	pym1qhq-yxc59		2011-08-20	PRESENT	1.0	현재
kbs2_spy	everas29	POST	pym1sw7-yhb2y		2011-08-20	PRESENT	1.0	지금
kbs2_spy	everas29	POST	pym1sw7-yhb2y		2011-08-20	QUESTIONMARK	1.0	tagquestion
kbs2_spy	everas29	POST	pym1sw7-yhb2y		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	inc6021	POST	pym1y30-y4vwy		2011-08-19	SMILEMARK	1.0	크
kbs2_spy	inc6021	POST	pym1y30-y4vwy		2011-08-19	POSITIVE	1.0	좋다
kbs2_spy	gogksehd55	POST	pym1yk2-_qtl5		2011-08-19	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	gogksehd55	POST	pym1yk2-_qtl5		2011-08-19	POSITIVE	2.0	좋다 좋아
kbs2_spy	inc6021	POST	pym1yu4-y4vwy		2011-08-19	CONJUNCTION	1.0	그리고
kbs2_spy	inc6021	POST	pym1yu4-y4vwy		2011-08-19	QUESTIONMARK	1.0	tagquestion
kbs2_spy	acsulin	POST	pym1_ob-yewpp		2011-08-19	PRESENT	1.0	지금
kbs2_spy	hanlora	POST	pym305w-yy8zd		2011-08-18	SMILEMARK	1.0	tagsmile
kbs2_spy	einxh	POST	pym30b0-y2we7		2011-08-18	PRESENT	1.0	오늘
kbs2_spy	einxh	POST	pym30b0-y2we7		2011-08-18	POSITIVE	2.0	웃다 웃기다
kbs2_spy	cmhann	POST	pym33rv-53v_7		2011-08-18	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	cmhann	POST	pym33rv-53v_7		2011-08-18	LOVEMARK	1.0	taglove
kbs2_spy	sexyyukino	POST	pym3aro-p4to		2011-08-18	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	nkokon	POST	pym3gd4-kwd		2011-08-18	HEAR	1.0	느끼다
kbs2_spy	hackermaster	POST	pym3gol-h_jz		2011-08-18	SMILEMARK	1.0	크
kbs2_spy	hackermaster	POST	pym3gol-h_jz		2011-08-18	LOVEMARK	1.0	taglove
kbs2_spy	dan2332	POST	pym3lhb-5q0nk		2011-08-20	LOVEMARK	1.0	taglove
kbs2_spy	wjddbs8722	POST	pym3lst-yerja		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	wjddbs8722	POST	pym3lst-yerja		2011-08-20	SMILEMARK	1.0	tagsmile
kbs2_spy	shinnara119	POST	pym3nbe-feh5		2011-08-18	PRESENT	1.0	지금
kbs2_spy	its_stellar	POST	pym3nia-_hx7z		2011-08-20	QUESTIONMARK	1.0	tagquestion
kbs2_spy	its_stellar	POST	pym3nia-_hx7z		2011-08-20	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	its_stellar	POST	pym3nia-_hx7z		2011-08-20	SMILEMARK	1.0	tagsmile
kbs2_spy	zon_haru	POST	pym3q1c-ytivy		2011-08-20	SMILEMARK	1.0	크
kbs2_spy	whddlf254	POST	pym3q9k-6_9p		2011-08-18	PRESENT	1.0	오늘
kbs2_spy	whddlf254	POST	pym3q9k-6_9p		2011-08-18	SMILEMARK	1.0	크
kbs2_spy	whddlf254	POST	pym3q9k-6_9p		2011-08-18	SEE	1.0	보다
kbs2_spy	kwkim2580	POST	pym3s0k-5413o		2011-08-18	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	kwkim2580	POST	pym3s0k-5413o		2011-08-18	SMILEMARK	1.0	크
kbs2_spy	jincsng	POST	pym3s20-y56ua		2011-08-18	PRESENT	1.0	지금
kbs2_spy	jincsng	POST	pym3s20-y56ua		2011-08-18	SMILEMARK	1.0	tagsmile
kbs2_spy	hunyoung01	POST	pym3tw6-530o		2011-08-18	SMILEMARK	1.0	tagsmile
kbs2_spy	ynsn1012	POST	pym3um5-5xrin		2011-08-18	SMILEMARK	1.0	tagsmile
kbs2_spy	ynsn1012	POST	pym3um5-5xrin		2011-08-18	POSITIVE	1.0	재미있
kbs2_spy	ynsn1012	POST	pym3um5-5xrin		2011-08-18	SEE	1.0	보다
kbs2_spy	blackjjang12	POST	pym3unl-t25o		2011-08-18	CRYMARK	1.0	tagcry
kbs2_spy	wldus3796	POST	pym50aa-q47p		2011-08-16	SMILEMARK	1.0	tagsmile
kbs2_spy	swy03063	POST	pym5162-yjy0r		2011-08-16	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	ghoney86	POST	pym51vc-yuro8		2011-08-16	CRYMARK	1.0	tagcry
kbs2_spy	smartwedding	POST	pym53mi-_wbql		2011-08-16	QUESTIONMARK	1.0	tagquestion
kbs2_spy	yoyong11	POST	pym541t-erbs		2011-08-17	QUESTIONMARK	1.0	tagquestion
kbs2_spy	yoyong11	POST	pym541t-erbs		2011-08-17	ANGER	1.0	화나다
kbs2_spy	joyunhia	POST	pym54eq-rvcd		2011-08-18	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	guswlsmmm1	POST	pym551o-5op__		2011-08-16	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	hglks	POST	pym55aj-_rb03		2011-08-16	SMILEMARK	1.0	tagsmile
kbs2_spy	cho208610	POST	pym55sm-_gdhg		2011-08-16	PAST	1.0	어제
kbs2_spy	cho208610	POST	pym55sm-_gdhg		2011-08-16	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	cho208610	POST	pym55sm-_gdhg		2011-08-16	SEE	1.0	보다
kbs2_spy	ggarikim	POST	pym562w-_si0h		2011-08-16	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	juns2day	POST	pym567d-_rve2		2011-08-16	PAST	1.0	어제
kbs2_spy	juns2day	POST	pym567d-_rve2		2011-08-16	CRYMARK	1.0	tagcry
kbs2_spy	juns2day	POST	pym567d-_rve2		2011-08-16	SEE	1.0	보다
kbs2_spy	sisisione3	POST	pym569a-yq5t1		2011-08-16	SMILEMARK	1.0	tagsmile
kbs2_spy	sisisione3	POST	pym569a-yq5t1		2011-08-16	CRYMARK	1.0	tagcry
kbs2_spy	chaelini33	POST	pym57vc-5o8c3		2011-08-16	PRESENT	1.0	오늘
kbs2_spy	chaelini33	POST	pym57vc-5o8c3		2011-08-16	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	chaelini33	POST	pym57vc-5o8c3		2011-08-16	POSITIVE	1.0	좋다
kbs2_spy	eratoskin	POST	pym5805-ybst1		2011-08-16	QUESTIONMARK	1.0	tagquestion
kbs2_spy	xxddrr5	POST	pym58ww-ym6cx		2011-08-16	SMILEMARK	1.0	크
kbs2_spy	cutemj99	POST	pym591o-yky3h		2011-08-16	PRESENT	1.0	오늘
kbs2_spy	cutemj99	POST	pym591o-yky3h		2011-08-16	QUESTIONMARK	1.0	tagquestion
kbs2_spy	cutemj99	POST	pym591o-yky3h		2011-08-16	SMILEMARK	1.0	tagsmile
kbs2_spy	neoneoneoneo	POST	pym5977-timh		2011-08-16	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	goretti75	POST	pym59l0-5kzwp		2011-08-19	SMILEMARK	1.0	크
kbs2_spy	sexyyukino	POST	pym59lh-p4to		2011-08-16	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	tbworld_tv	POST	pym59oh-_clkj		2011-08-18	QUESTIONMARK	1.0	tagquestion
kbs2_spy	bini420	POST	pym59tv-l9wh		2011-08-16	QUESTIONMARK	1.0	tagquestion
kbs2_spy	shanyong83	POST	pym5ak1-_qbdh		2011-08-17	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	shanyong83	POST	pym5ak1-_qbdh		2011-08-17	NEGATIVE	1.0	원망
kbs2_spy	shanyong83	POST	pym5ak1-_qbdh		2011-08-17	ANGER	1.0	원망
kbs2_spy	shanyong83	POST	pym5ak1-_qbdh		2011-08-17	SEE	1.0	보다
kbs2_spy	hanah0123456	POST	pym5aq0-5xo2r		2011-08-16	QUESTIONMARK	1.0	tagquestion
kbs2_spy	twin980	POST	pym5a_l-yzbd9		2011-08-17	SADNESS	1.0	불쌍
kbs2_spy	quddudch00	POST	pym5bop-y2g9x		2011-08-16	PAST	1.0	어제
kbs2_spy	gaye1224	POST	pym5bq1-zbdd		2011-08-16	PRESENT	1.0	오늘
kbs2_spy	gaye1224	POST	pym5bq1-zbdd		2011-08-16	LOVEMARK	1.0	taglove
kbs2_spy	4568979	POST	pym5c24-_hh73		2011-08-16	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	4568979	POST	pym5c24-_hh73		2011-08-16	CRYMARK	1.0	tagcry
kbs2_spy	ileo123	POST	pym5c2p-yk3fs		2011-08-16	QUESTIONMARK	1.0	tagquestion
kbs2_spy	ileo123	POST	pym5c2p-yk3fs		2011-08-16	SMILEMARK	1.0	tagsmile
kbs2_spy	chmin25	POST	pym5c5e-3rcu		2011-08-16	PRESENT	1.0	지금
kbs2_spy	chmin25	POST	pym5c5e-3rcu		2011-08-16	FUTURE	1.0	내일
kbs2_spy	chmin25	POST	pym5c5e-3rcu		2011-08-16	CRYMARK	1.0	tagcry
kbs2_spy	shcj	POST	pym5cq9-yrzcg		2011-08-16	PRESENT	1.0	오늘
kbs2_spy	shcj	POST	pym5cq9-yrzcg		2011-08-16	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	alslzhf	POST	pym5cte-9fxc		2011-08-16	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	alslzhf	POST	pym5cte-9fxc		2011-08-16	CRYMARK	1.0	tagcry
kbs2_spy	chicagolady	POST	pym5cw8-_ipo6		2011-08-16	EXCLAMMARK	1.0	tagexclamation
kbs2_spy	chicagolady	POST	pym5cw8-_ipo6		2011-08-16	SMILEMARK	1.0	크
kbs2_spy	kwensa98	POST	pym5dri-seul		2011-08-16	SMILEMARK	1.0	tagsmile
kbs2_spy	511hj_	POST	pym5e21-5m2bg		2011-08-18	QUESTIONMARK	1.0	tagquestion
kbs2_spy	holic_line	POST	pym5e4e-yazy7		2011-08-16	QUESTIONMARK	1.0	tagquestion
kbs2_spy	korea980114	POST	pym5ehz-55jh0		2011-08-16	QUESTIONMARK	1.0	tagquestion
kbs2_spy	korea980114	POST	pym5ehz-55jh0		2011-08-16	SMILEMARK	1.0	tagsmile
kbs2_spy	korea980114	POST	pym5ehz-55jh0		2011-08-16	ANGER	1.0	미치다
kbs2_spy	cyzhffltthdu	POST	pym5f5a-zmq8		2011-08-16	SMILEMARK	1.0	tagsmile
kbs2_spy	leemk323	POST	pym5fmi-mkqs		2011-08-16	SMILEMARK	1.0	tagsmile
kbs2_spy	ezimartbiz	POST	pym5fv7-sdu5		2011-08-16	QUESTIONMARK	1.0	tagquestion
kbs2_spy	krkr1408	POST	pym5h43-y3zqp		2011-08-16	PRESENT	1.0	오늘
kbs2_spy	krkr1408	POST	pym5h43-y3zqp		2011-08-16	LOVEMARK	1.0	taglove
kbs2_spy	3040pgy	POST	pym5iwx-5_uz9		2011-08-16	CRYMARK	1.0	tagcry
kbs2_spy	einxh	POST	pym5iz1-y2we7		2011-08-16	PRESENT	1.0	오늘
kbs2_spy	einxh	POST	pym5iz1-y2we7		2011-08-16	QUESTIONMARK	1.0	tagquestion
kbs2_spy	einxh	POST	pym5iz1-y2we7		2011-08-16	POSITIVE	3.0	웃다 웃기다 좋다
kbs2_spy	loanbay	POST	pym5je8-yrp_n		2011-08-18	QUESTIONMARK	1.0	tagquestion
